Timeframe,Week of, 2019 counts (31 counters), 2020 counts (31 counters),2021 Counts,Change 2019-2020,,,,
Week 1,30-Dec,167679,183546,,9%,1.094627234,,,
Week 2,6-Jan,82340,97140,,18%,117.974253096915,,,
Week 3,13-Jan,62315,75782,,22%,121.611169060419,,,
Week 4,20-Jan,75801,83809,,11%,110.564504426063,,,
Week 5,27-Jan,75841,94738,,25%,124.916601838056,,,
Week 6,3-Feb,79780,153555,,92%,192.473050889947,,,
Week 7,10-Feb,65732,130351,,98%,198.306760786223,,,
Week 8,17-Feb,69492,149876,,116%,215.673746618316,,,
Week 9,24-Feb,85688,141250,,65%,164.842218280273,,,
Week 10,2-Mar,84512,167528,,98%,198.229837182885,,,
Week 11,9-Mar,107995,210182,,95%,194.621973239502,,,
Week 12,16-Mar,125440,367795,,193%,293.203922193878,,,
Week 13,23-Mar,136330,372783,,173%,273.441648940072,,,
Week 14,30-Mar,118784,280728,,136%,236.334859913793,,,
Week 15,06-Apr,132033,419160,,217%,317.466088023449,,,
Week 16,13-Apr,133267,241810,,81%,181.447770265707,,,
Week 17,20-Apr,165777,231184,,39%,139.454809774577,,,
Week 18,27-Apr,166356,276982,,66%,166.499555170838,,,
Week 19,04-May,171049,244058,,43%,142.683090810236,,,
Week 20,11-May,178534,281348,,58%,157.587910426025,,,
Week 21,18-May,191319,255226,,33%,133.403373423445,,,
Week 22,25-May,240507,299567,,25%,124.556457816197,,,
Week 23,01-Jun,211380,278800,,32%,131.895165105497,,,
Week 24,08-Jun,214729,296335,,38%,138.004182015471,,,
Week 25,15-Jun,202847,255112,,26%,125.765724905964,,,
Week 26,22-Jun,202445,256615,,27%,126.757884857616,,,
Week 27,29-Jun,184658,236287,,28%,127.959254405441,,,
Week 28,06-Jul,185302,244342,,32%,131.861501764687,,,
Week 29,13-Jul,166125,250590,,51%,150.844243792325,,,
Week 30,20-Jul,208809,223757,,7%,107.158695266966,,,
Week 31,27-Jul,197005,238673,,21%,121.150732214918,,,
Week 32,03-Aug,180605,239827,,33%,132.790897261981,,,
Week 33,10-Aug,191450,219279,,15%,114.535910159311,,,
Week 34,17-Aug,168754,241007,,43%,142.815577704825,,,
Week 35,24-Aug,176624,273677,,55%,154.948931062596,,,
Week 36,31-Aug,184806,227918,,23%,123.32824691839,,,
Week 37,07-Sep,157345,207670,,32%,131.983857129238,,,
Week 38,14-Sep,152527,207320,,36%,135.923475843621,,,
Week 39,21-Sep,141072,207918,,47%,147.384314392651,,,
Week 40,28-Sep,135881,186004,,37%,136.887423554434,,,
Week 41,05-Oct,132239,182924,,38%,138.328329766559,,,
Week 42,12-Oct,110816,159246,,44%,143.703075368178,,,
Week 43,19-Oct,110761,141404,,28%,127.665875172669,,,
Week 44,26-Oct,109795,147907,,35%,134.711963204153,,,
Week 45,02-Nov,109766,154502,,41%,140.755789588762,,,
Week 46,09-Nov,86824,155805,,79%,179.449230627476,,,
Week 47,16-Nov,88122,97835,,11%,111.022219196114,,,
Week 48,23-Nov,72380,101036,,40%,139.591047250622,,,
Week 49,30-Nov,81871,84123,,3%,102.750668734961,,,
Week 50,07-Dec,68364,92126,,35%,134.758059797554,,,
Week 51,14-Dec,58063,73188,,26%,126.04929128705,,,
Week 52,21-Dec,71890,69962,,-3%,97.3181249130616,,2673%,0.514015531
